Commit Sha;Date;Author;Referenced Ticket;Version;Committed Files
bdf3bfd63;2012-12-03;AUTHOR=Ivan Brendan Kelly;MES=[REVERT] BOOKKEEPER-336 bookie readEntries is taking more time if the ensemble has failed bookie(s) Basic speculative functionality  in place Accidently committed this change, before approval. Reverting (ivank);3;4
03bf28db4;2012-12-03;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-459: Rename metastore mock implementation to InMemory implementation (jiannan via ivank);3;4
4380e5296;2012-12-03;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-459: Rename metastore mock implementation to InMemory implementation (jiannan via ivank) [remove directory];3;0
0ea460606;2012-12-03;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-442: Failed to deliver messages due to inconsistency between SubscriptionState and LedgerRanges. (jiannan via ivank);3;4
7f6adbe34;2012-12-03;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-347: Provide mechanism to detect r-o bookie by the bookie clients (Vinay via ivank);3;6
c86eb1c48;2012-12-03;AUTHOR=Flavio Paiva Junqueira;MES=BOOKKEEPER-484: Misc fixes for test scripts (ivank via fpj);3;0
55f6300ef;2012-12-03;AUTHOR=Flavio Paiva Junqueira;MES=BOOKKEEPER-399: Let hub server configure write quorum from ack quorum. (sijie via fpj);3;2
6030beaba;2012-12-04;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-470: Possible infinite loop in simple.SubscribeReconnectCallback (sijie via ivank);3;2
7f67e765c;2012-12-04;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-461: Delivery throughput degrades when there are lots of publishers w/ high traffic. (sijie via ivank);3;4
366d393f2;2012-12-04;AUTHOR=Flavio Paiva Junqueira;MES=BOOKKEEPER-475: BookieRecoveryTest#testSyncBookieRecoveryToRandomBookiesCheckForDupes() iterates too much (ivank via fpj);3;1
baef28384;2012-12-07;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-453: Extract commonality from MultiplexSubscribeResponseHandler and SimpleSubscribeResponseHandler and put into an abstract class  (sijie via ivank);3;9
66a0dde14;2012-12-08;AUTHOR=Flavio Paiva Junqueira;MES=BOOKKEEPER-431: Duplicate definition of COOKIES_NODE (uma via fpj);3;20
d0217c170;2012-12-08;AUTHOR=Flavio Paiva Junqueira;MES=BOOKKEEPER-431: Duplicate definition of COOKIES_NODE (uma via fpj). Additional commit to fix the DEFAULT_ZK_LEDGERS_ROOT_PATH constant.;3;4
40ac04bfe;2012-12-08;AUTHOR=Flavio Paiva Junqueira;MES=BOOKKEEPER-474:  BookieReadWriteTest#testShutdown doesn't make sense (ivank via fpj);3;2
a063f9b19;2012-12-10;AUTHOR=Flavio Paiva Junqueira;MES=BOOKKEEPER-469: Remove System.out.println from TestLedgerManager (ivank via fpj);3;1
7d3dde696;2012-12-10;AUTHOR=Flavio Paiva Junqueira;MES=BOOKKEEPER-465: CreateNewLog may overwrite lastLogId with smaller value (yixue, fpj via fpj);3;2
77efd1c00;2012-12-10;AUTHOR=Flavio Paiva Junqueira;MES=BOOKKEEPER-498: BookieRecoveryTest.tearDown NPE (fpj);3;1
be155aa0c;2012-12-11;AUTHOR=Flavio Paiva Junqueira;MES=BOOKKEEPER-491: Hedwig doc for configuration (fpj, sijie via fpj);3;1
7467d2697;2012-12-11;AUTHOR=Flavio Paiva Junqueira;MES=BOOKKEEPER-495: Revise BK config doc (fpj, ivank via fpj);3;1
7275006bf;2012-12-11;AUTHOR=Flavio Paiva Junqueira;MES=BOOKKEEPER-495: Revise BK config doc (fpj, ivank via fpj) (a few extra edits to bookieCOnfigParams.textile);3;0
7fa41ff31;2012-12-12;AUTHOR=Sijie Guo;MES=BOOKKEEPER-497: GcLedgersTest has a potential race (ivank via sijie);3;1
5414cec92;2012-12-12;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-205: implement a MetaStore based ledger manager for bookkeeper client. (jiannan via ivank);3;9
55610c26e;2012-12-12;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-493: moveLedgerIndexFile might have chance pickup same directory (sijie via ivank);3;3
1e35d5d5e;2012-12-13;AUTHOR=Sijie Guo;MES=BOOKKEEPER-404: Deprecate non-SubscriptionOptions Subscriber Apis (ivank via sijie);3;1
b6c1a8bbd;2012-12-13;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-365: Ledger will never recover if one of the quorum bookie is down forever and others dont have entry (sijie via ivank);3;3
d58a71dbd;2012-12-13;AUTHOR=Flavio Paiva Junqueira;MES=BOOKKEEPER-458:  Annoy BKReadException error when changing ledger. (jiannan via fpj);3;2
496f442a7;2012-12-13;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-336: bookie readEntries is taking more time if the ensemble has failed bookie(s) (ivank);3;7
d932c9b21;2012-12-13;AUTHOR=Flavio Paiva Junqueira;MES=BOOKKEEPER-483: precommit tests only check toplevel rat file, not the one for submodules. (ivank via fpj);3;0
3a950e6f7;2012-12-13;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-262: Implement a meta store based hedwig metadata manager. (jiannan via ivank);3;4
4320f6f8a;2012-12-13;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-341: add documentation for bookkeeper ledger manager interface. (sijie via ivank);3;0
e0011de44;2012-12-13;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-408: BookieReadWriteTest will enter the endless loop and will not leave out (ivank);3;1
812570006;2012-12-14;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-426: Make auditor Vote znode store a protobuf containing the host that voted (ivank);3;3
dffe13f5b;2012-12-14;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-504: Fix findbugs warning in PendingReadOp (fpj via ivank);3;1
e4a42af69;2012-12-14;AUTHOR=Flavio Paiva Junqueira;MES=BOOKKEEPER-428: Expose command options in bookie scripts to disable/enable auto recovery temporarily (ivank via fpj);3;3
