Commit Sha;Date;Author;Referenced Ticket;Version;Committed Files
04979883e3;2012-03-23;AUTHOR=Fabio Martelli;MES=SYNCOPE-47 #user templated used to be not applied in case of update coming from synchronization;1;3
7b740e6a11;2012-03-28;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-50] A separated ImplementationClassNamesLoader class, invoked on webapp init, has been provided: this will make things easier in WAR overlays;1;6
1715f3a727;2012-03-28;AUTHOR=Massimiliano Perrone;MES=[SYNCOPE-38] new TODO icons for console;1;0
941a5c6223;2012-03-28;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-49] Collections.unmodifiableMap() applied to all proper get*Map() client methods;1;8
e8c80ab9ff;2012-03-28;AUTHOR=Fabio Martelli;MES=SYNCOPE-41 #comment provided fields to store email attribute type/schema;1;10
7b2b2cfbe8;2012-03-30;AUTHOR=Fabio Martelli;MES=SYNCOPE-49 #comment AttributableOperation used to fail tryimg to retrieve UserMod from original and updated UserTOs;1;1
db5a12d124;2012-04-02;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-29] Updating to cargo 1.2.1 and JBoss 7.1.1-Final;1;3
06f8627caa;2012-04-03;AUTHOR=Fabio Martelli;MES=SYNCOPE-7 #comment role/membership normal attribute propagation used to fail with a cast exception;1;1
787e8f0138;2012-04-03;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-48] Implemented correct role entitlement inheritance: needed to fix some minor related things as well;1;8
7fa6b0d946;2012-04-03;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-38] Finally, new icon from original author;1;0
dec2bc9922;2012-04-03;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-41] Updating NotificationTest to reflect the changed interface;1;1
074201c7af;2012-04-04;AUTHOR=Fabio Martelli;MES=SYNCOPE-52 #comment NotificationManager used to execute user search without admin role entitlements;1;5
2951d46a00;2012-04-04;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-53] Now all UserTO information is available in mail templates by using Velocity Template Language (VTL) - some examples included;1;1
b3b389cdd6;2012-04-04;AUTHOR=Colm O Heigeartaigh;MES=[SYNCOPE-42] - Add the ability to delete a user by username via the REST API;1;2
4305a1a0e4;2012-04-04;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-54] Moved lastExecStatus from TaskDataBinder's on-the-fly set to TaskTO to actual optional field of Task: in this way NotificationJob can see which NotificationTasks have been executed, even if the correspondant TaskExec was not stored;1;8
cb68d3a11d;2012-04-11;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-55] Reworked provided patch;1;3
8d2caa63b9;2012-04-16;AUTHOR=Colm O Heigeartaigh;MES=[SYNCOPE-42] - Renamed UserController read & delete by username methods as per Francesco's suggestions;1;3
345a73dba3;2012-04-17;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-58] UserRequestModalPage was always set to UserModalPage.Mode.SELF, now can also be UserModalPage.Mode.ADMIN;1;5
630dc73548;2012-04-18;AUTHOR=Colm O Heigeartaigh;MES=[SYNCOPE-45] - Make all delete operations consistent in the REST API;1;41
82e39cc129;2012-04-18;AUTHOR=Fabio Martelli;MES=SYNCOPE-60 fixed;1;1
851cdd64e3;2012-04-18;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-56] Renamed everything org.syncope -> org.apache.syncope;1;549
b1cb9cb3a9;2012-04-19;AUTHOR=Fabio Martelli;MES=SYNCOPE-62 #comment added and managed AbstractSchema field to specify enum labels;1;6
73f5734def;2012-04-24;AUTHOR=Fabio Martelli;MES=SYNCOPE-63 #comment On-change event used to be written onChange instead of onchange;1;1
3fae3905d6;2012-04-24;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-66] zip and tar.gz source archives are now created: still to be verified whether release plugin generates all necessary ASC, MD5 and SHA1 for these;1;0
2b32bad85a;2012-04-25;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-66] Removing unnecessary confs;1;0
d69bf1dacc;2012-04-26;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-2] Updating LICENSE and NOTICE according to legal requirements: feedback requested;1;0
bb18ea5f1a;2012-04-26;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-66] ASC, MD5 and SHA1 files generated for source archives: verified;1;0
d22599e4bb;2012-04-30;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-69] Compiler plugin enhancement applied;1;0
e55959c62a;2012-04-30;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-71] Added OpenJPA conf params for foreign-key constraints generation: had to review some details about DAO impl as well;1;3
f342461ada;2012-04-30;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-72] JSP files with header; apache-rat configured either in root and parent POMs;1;0
98649493b4;2012-04-30;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-70] Removing unnecessary fileSet from source assembly;1;0
2eb202c9e0;2012-05-02;AUTHOR=Fabio Martelli;MES=SYNCOPE-65 #comment added the possibility to export from a supported dbms and import into another one;1;6
