Ticket ID;Date;Fixed Commits;Affected Versions
BOOKKEEPER-493;2012-12-06;1;1
BOOKKEEPER-485;2012-11-27;1;1
BOOKKEEPER-484;2012-11-27;1;1
BOOKKEEPER-483;2012-11-27;1;1
BOOKKEEPER-482;2012-11-27;1;1
BOOKKEEPER-481;2012-11-27;1;1
BOOKKEEPER-480;2012-11-27;1;1
BOOKKEEPER-479;2012-11-27;1;1
BOOKKEEPER-477;2012-11-23;1;1
BOOKKEEPER-475;2012-11-21;1;1
BOOKKEEPER-474;2012-11-21;1;1
BOOKKEEPER-471;2012-11-19;1;1
BOOKKEEPER-470;2012-11-19;1;1
BOOKKEEPER-469;2012-11-19;1;1
BOOKKEEPER-468;2012-11-19;1;1
BOOKKEEPER-467;2012-11-19;1;1
BOOKKEEPER-466;2012-11-19;1;1
BOOKKEEPER-465;2012-11-14;1;1
BOOKKEEPER-461;2012-11-11;1;1
BOOKKEEPER-458;2012-11-06;1;1
BOOKKEEPER-457;2012-11-06;1;1
BOOKKEEPER-454;2012-11-02;1;1
BOOKKEEPER-447;2012-10-30;1;1
BOOKKEEPER-442;2012-10-25;1;2
BOOKKEEPER-441;2012-10-24;1;1
BOOKKEEPER-439;2012-10-19;1;2
BOOKKEEPER-436;2012-10-16;1;1
BOOKKEEPER-434;2012-10-15;1;1
BOOKKEEPER-427;2012-10-09;1;1
BOOKKEEPER-425;2012-10-09;1;1
BOOKKEEPER-424;2012-10-07;2;2
BOOKKEEPER-415;2012-10-04;1;1
BOOKKEEPER-413;2012-10-01;1;1
BOOKKEEPER-408;2012-09-17;1;1
BOOKKEEPER-404;2012-09-13;1;1
BOOKKEEPER-403;2012-09-13;1;1
BOOKKEEPER-397;2012-09-10;1;1
BOOKKEEPER-396;2012-09-07;1;1
BOOKKEEPER-395;2012-09-06;1;1
BOOKKEEPER-392;2012-09-04;1;1
BOOKKEEPER-387;2012-09-04;1;1
BOOKKEEPER-383;2012-08-27;1;1
BOOKKEEPER-382;2012-08-25;1;2
BOOKKEEPER-381;2012-08-25;1;1
BOOKKEEPER-372;2012-08-17;1;1
BOOKKEEPER-371;2012-08-17;1;1
BOOKKEEPER-365;2012-08-14;1;2
BOOKKEEPER-355;2012-08-08;1;2
BOOKKEEPER-354;2012-08-07;1;1
BOOKKEEPER-352;2012-07-26;1;1
BOOKKEEPER-351;2012-07-23;1;1
BOOKKEEPER-349;2012-07-23;1;1
BOOKKEEPER-343;2012-07-16;1;1
BOOKKEEPER-338;2012-07-12;1;1
BOOKKEEPER-337;2012-07-11;1;1
BOOKKEEPER-336;2012-07-10;3;1
BOOKKEEPER-330;2012-07-09;1;2
BOOKKEEPER-329;2012-07-09;1;2
BOOKKEEPER-327;2012-07-05;1;2
BOOKKEEPER-326;2012-07-04;1;1
BOOKKEEPER-324;2012-07-03;1;1
BOOKKEEPER-322;2012-06-27;1;1
BOOKKEEPER-307;2012-06-21;1;1
BOOKKEEPER-306;2012-06-21;1;1
BOOKKEEPER-303;2012-06-20;1;1
BOOKKEEPER-302;2012-06-20;1;1
BOOKKEEPER-298;2012-06-14;1;1
BOOKKEEPER-296;2012-06-14;2;1
BOOKKEEPER-294;2012-06-13;1;1
BOOKKEEPER-292;2012-06-11;1;2
BOOKKEEPER-291;2012-06-11;1;2
BOOKKEEPER-280;2012-05-31;1;1
BOOKKEEPER-274;2012-05-30;1;2
BOOKKEEPER-55;2011-08-25;1;1
BOOKKEEPER-685;2013-09-13;0;1
BOOKKEEPER-684;2013-09-13;0;1
BOOKKEEPER-679;2013-09-04;0;1
BOOKKEEPER-669;2013-08-08;0;1
BOOKKEEPER-660;2013-07-24;0;1
BOOKKEEPER-625;2013-06-14;0;1
BOOKKEEPER-621;2013-06-07;0;1
BOOKKEEPER-786;2014-09-20;1;3
BOOKKEEPER-785;2014-09-17;1;3
BOOKKEEPER-784;2014-09-12;1;3
BOOKKEEPER-783;2014-09-12;1;3
BOOKKEEPER-780;2014-08-28;1;3
BOOKKEEPER-779;2014-08-28;1;3
BOOKKEEPER-778;2014-08-28;1;3
BOOKKEEPER-777;2014-08-28;1;3
BOOKKEEPER-774;2014-07-26;1;3
BOOKKEEPER-768;2014-06-17;1;1
BOOKKEEPER-763;2014-05-29;1;2
BOOKKEEPER-740;2014-03-07;1;2
BOOKKEEPER-739;2014-03-04;1;2
BOOKKEEPER-731;2014-02-06;1;2
BOOKKEEPER-729;2014-02-04;1;2
BOOKKEEPER-728;2014-02-04;1;2
BOOKKEEPER-727;2014-02-04;1;2
BOOKKEEPER-724;2014-02-02;1;1
BOOKKEEPER-720;2014-01-21;1;1
BOOKKEEPER-719;2014-01-21;1;1
BOOKKEEPER-709;2013-11-23;1;1
BOOKKEEPER-700;2013-10-30;1;1
BOOKKEEPER-698;2013-10-29;1;1
BOOKKEEPER-686;2013-09-29;1;1
BOOKKEEPER-683;2013-09-12;1;1
BOOKKEEPER-678;2013-09-01;1;2
BOOKKEEPER-676;2013-08-23;1;2
BOOKKEEPER-668;2013-08-06;1;3
BOOKKEEPER-667;2013-08-06;1;2
BOOKKEEPER-664;2013-07-29;1;2
BOOKKEEPER-663;2013-07-26;1;1
BOOKKEEPER-654;2013-07-21;1;1
BOOKKEEPER-652;2013-07-20;1;1
BOOKKEEPER-649;2013-07-16;1;1
BOOKKEEPER-646;2013-07-08;1;2
BOOKKEEPER-642;2013-07-05;1;1
BOOKKEEPER-641;2013-07-02;1;1
BOOKKEEPER-638;2013-06-28;1;1
BOOKKEEPER-636;2013-06-26;1;3
BOOKKEEPER-635;2013-06-26;1;1
BOOKKEEPER-633;2013-06-25;1;1
BOOKKEEPER-632;2013-06-20;1;3
BOOKKEEPER-626;2013-06-14;1;3
BOOKKEEPER-624;2013-06-12;1;2
BOOKKEEPER-623;2013-06-12;1;3
BOOKKEEPER-620;2013-06-07;1;1
BOOKKEEPER-619;2013-06-06;1;2
BOOKKEEPER-617;2013-06-03;1;2
BOOKKEEPER-610;2013-05-10;1;2
BOOKKEEPER-607;2013-04-22;1;3
BOOKKEEPER-604;2013-04-08;1;1
BOOKKEEPER-603;2013-04-08;1;3
BOOKKEEPER-601;2013-04-05;1;3
BOOKKEEPER-600;2013-04-05;1;3
BOOKKEEPER-599;2013-04-05;1;2
BOOKKEEPER-598;2013-04-04;1;2
BOOKKEEPER-597;2013-04-02;1;2
BOOKKEEPER-596;2013-03-28;1;3
BOOKKEEPER-586;2013-03-20;1;3
BOOKKEEPER-585;2013-03-14;1;1
BOOKKEEPER-584;2013-03-12;1;2
BOOKKEEPER-583;2013-03-07;1;2
BOOKKEEPER-581;2013-03-05;1;3
BOOKKEEPER-580;2013-02-27;1;1
BOOKKEEPER-579;2013-02-27;1;1
BOOKKEEPER-577;2013-02-26;0;1
BOOKKEEPER-569;2013-02-13;1;1
BOOKKEEPER-568;2013-02-11;1;2
BOOKKEEPER-567;2013-02-09;1;1
BOOKKEEPER-561;2013-02-05;1;3
BOOKKEEPER-559;2013-01-28;1;2
BOOKKEEPER-557;2013-01-24;1;3
BOOKKEEPER-556;2013-01-24;1;1
BOOKKEEPER-554;2013-01-20;1;2
BOOKKEEPER-549;2013-01-16;1;1
BOOKKEEPER-548;2013-01-16;1;1
BOOKKEEPER-544;2013-01-11;2;4
BOOKKEEPER-446;2012-10-29;1;2
BOOKKEEPER-363;2012-08-14;1;1
BOOKKEEPER-313;2012-06-23;1;2
BOOKKEEPER-767;2014-06-04;1;1
BOOKKEEPER-766;2014-06-03;1;1
BOOKKEEPER-765;2014-06-03;1;1
BOOKKEEPER-755;2014-05-08;1;1
BOOKKEEPER-752;2014-05-07;0;1
BOOKKEEPER-751;2014-05-07;1;1
BOOKKEEPER-750;2014-04-29;0;1
BOOKKEEPER-746;2014-04-04;1;1
BOOKKEEPER-745;2014-04-04;1;1
BOOKKEEPER-744;2014-04-04;2;1
BOOKKEEPER-743;2014-04-04;1;1
BOOKKEEPER-742;2014-04-04;1;1
BOOKKEEPER-730;2014-02-06;1;1
BOOKKEEPER-726;2014-02-04;1;1
BOOKKEEPER-725;2014-02-04;1;1
BOOKKEEPER-714;2013-12-31;1;1
BOOKKEEPER-712;2013-12-05;1;2
BOOKKEEPER-711;2013-12-03;1;2
BOOKKEEPER-710;2013-11-23;1;1
BOOKKEEPER-708;2013-11-10;1;1
BOOKKEEPER-688;2013-10-04;1;2
BOOKKEEPER-673;2013-08-21;1;1
BOOKKEEPER-602;2013-04-05;1;3
BOOKKEEPER-926;2016-04-30;1;1
BOOKKEEPER-925;2016-04-27;2;1
BOOKKEEPER-921;2016-04-11;1;1
BOOKKEEPER-919;2016-04-07;0;1
BOOKKEEPER-917;2016-04-07;1;1
BOOKKEEPER-914;2016-04-06;1;1
BOOKKEEPER-913;2016-04-05;1;1
BOOKKEEPER-911;2016-04-02;1;1
BOOKKEEPER-910;2016-04-01;1;1
BOOKKEEPER-909;2016-03-31;1;1
BOOKKEEPER-904;2016-03-14;1;1
BOOKKEEPER-902;2016-03-08;1;1
BOOKKEEPER-900;2016-02-29;0;1
BOOKKEEPER-899;2016-02-28;0;1
BOOKKEEPER-898;2016-02-28;1;1
BOOKKEEPER-897;2016-02-23;1;1
BOOKKEEPER-893;2016-02-08;1;1
BOOKKEEPER-891;2016-02-05;1;1
BOOKKEEPER-890;2016-02-03;1;1
BOOKKEEPER-883;2015-11-25;1;1
BOOKKEEPER-863;2015-08-06;1;2
BOOKKEEPER-858;2015-05-30;1;2
BOOKKEEPER-854;2015-05-19;1;1
BOOKKEEPER-848;2015-04-10;1;1
BOOKKEEPER-840;2015-03-09;1;1
BOOKKEEPER-839;2015-02-24;1;1
BOOKKEEPER-838;2015-02-21;1;1
BOOKKEEPER-835;2015-01-16;2;1
BOOKKEEPER-834;2015-01-13;1;1
BOOKKEEPER-833;2014-12-23;1;1
