Version;ClassName;Size;LOC_touched;NR;NFix;NAuth;LOC_added;MAX_LOC_added;AVG_LOC_added;Churn;MAX_Churn;AVG_Churn;ChgSetSize;MAX_ChgSet;AVG_ChgSet;Age;WeightedAge;Buggy
1;hedwig-server/src/test/java/org/apache/hedwig/server/subscriptions/StubSubscriptionManager.java;35;54;2;1;2;53;52;26.5;52;52;26.0;376;206;188.0;0;0.0;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/subscriptions/TestZkSubscriptionManager.java;174;240;2;1;2;223;206;111.5;206;206;103.0;376;206;188.0;0;0.0;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/topics/StubTopicManager.java;45;68;2;1;2;66;64;33.0;64;64;32.0;376;206;188.0;0;0.0;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/topics/TestZkTopicManager.java;284;323;4;3;3;319;311;79.75;315;315;78.75;469;206;117.25;0;0.0;Yes
1;hedwig-server/src/test/java/org/apache/hedwig/zookeeper/TestZkUtils.java;30;47;1;0;1;47;47;47.0;47;47;47.0;206;206;206.0;0;0.0;No
1;hedwig-server/src/test/java/org/apache/hedwig/zookeeper/ZooKeeperTestBase.java;71;94;2;1;2;93;92;46.5;92;92;46.0;376;206;188.0;0;0.0;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java;804;1466;14;13;3;1246;545;89.0;1026;1026;73.28;433;170;30.92;0;0.0;Yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java;72;150;3;2;3;121;81;40.33;92;92;30.66;251;170;83.66;0;0.0;Yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java;131;210;4;3;2;195;168;48.75;180;180;45.0;228;170;57.0;0;0.0;Yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java;358;795;9;8;3;633;487;70.33;471;471;52.33;391;170;43.44;0;0.0;Yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java;144;216;5;4;3;210;124;42.0;204;204;40.8;327;170;65.4;0;0.0;Yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java;473;691;7;6;3;621;536;88.71;551;551;78.71;390;170;55.71;0;0.0;Yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java;114;187;5;4;3;168;133;33.59;149;149;29.8;381;170;76.19;0;0.0;Yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java;133;171;3;2;3;164;151;54.66;157;157;52.33;263;170;87.66;0;0.0;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java;106;147;1;0;1;147;147;147.0;147;147;147.0;55;55;55.0;0;0.0;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java;43;387;5;4;3;262;126;52.4;137;137;27.4;251;170;50.2;0;0.0;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java;238;289;4;3;3;280;249;70.0;271;271;67.75;257;170;64.25;0;0.0;Yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java;244;1544;9;8;3;1046;410;116.22;548;548;60.88;439;170;48.77;0;0.0;Yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java;154;219;4;3;2;212;204;53.0;205;205;51.25;323;170;80.75;0;0.0;Yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java;33;56;2;1;2;53;50;26.5;50;50;25.0;225;170;112.5;0;0.0;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java;145;229;5;4;3;207;184;41.4;185;185;37.0;337;170;67.4;0;0.0;Yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java;12;71;3;2;3;66;61;22.0;61;61;20.33;241;170;80.33;0;0.0;Yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java;95;263;8;7;3;210;167;26.25;157;157;19.62;423;170;52.87;0;0.0;Yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java;34;103;4;3;3;92;80;23.0;81;81;20.25;349;170;87.25;0;0.0;Yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java;53;176;3;2;2;130;83;43.33;84;84;28.0;317;170;105.66;0;0.0;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java;537;2188;12;11;3;1475;547;122.91;762;762;63.5;453;170;37.75;0;0.0;Yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java;180;330;7;6;3;289;198;41.28;248;248;35.42;354;170;50.57;0;0.0;Yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java;121;295;9;8;3;232;140;25.77;169;169;18.77;429;170;47.66;0;0.0;Yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java;145;252;6;5;3;224;178;37.33;196;196;32.66;356;170;59.33;0;0.0;Yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java;50;85;4;3;3;76;67;19.0;67;67;16.75;244;170;61.0;0;0.0;Yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java;125;199;4;3;3;182;138;45.5;165;165;41.25;343;170;85.75;0;0.0;Yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java;140;213;4;3;3;193;170;48.25;173;173;43.25;343;170;85.75;0;0.0;Yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java;59;89;2;1;2;88;87;44.0;87;87;43.5;225;170;112.5;0;0.0;Yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java;61;87;2;1;2;86;85;43.0;85;85;42.5;225;170;112.5;0;0.0;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java;150;225;7;6;3;203;178;29.0;181;181;25.85;384;170;54.85;0;0.0;Yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java;76;170;4;3;3;162;75;40.5;154;154;38.5;257;170;64.25;0;0.0;Yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java;340;585;11;10;3;489;209;44.45;393;393;35.72;424;170;38.54;0;0.0;Yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java;77;146;3;2;3;139;75;46.33;132;132;44.0;257;170;85.66;0;0.0;Yes
